"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"26-06-2022",19.1,12.04,5.04,7.72,23.19,14.93,11.69,13.3871428571429
"27-06-2022",16.16,12.39,6.41,10.57,22.21,14.68,9.69,13.1585714285714
"28-06-2022",19.87,12.61,10.6,12.42,37.1,15.39,16.64,17.8042857142857
"29-06-2022",19.06,12.88,10.4,10.44,29.89,16.65,13.48,16.1142857142857
"30-06-2022",22.29,18.63,13.06,14.89,34.75,16.78,18.59,19.8557142857143
"01-07-2022",27.02,25.67,15.12,15.05,36.7,22.1,23.49,23.5928571428571
"02-07-2022",23.75,22.81,12.94,11.04,35.26,20.47,21.25,21.0742857142857
"03-07-2022",19.58,15.7,9.86,7.09,23.93,12.27,14.14,14.6528571428571
"04-07-2022",17.73,13.06,12.85,5.28,21.9,11.45,14.86,13.8757142857143
"05-07-2022",16.84,13.94,8.3,6.57,19.37,9.78,7.4,11.7428571428571
"06-07-2022",15.71,12.28,9.65,8.03,16.76,11.5,9.66,11.9414285714286
"07-07-2022",13.73,11.9,8.64,6.68,16.8,12.92,11.03,11.6714285714286
"08-07-2022",16.37,13.53,7.34,6.02,17.17,7.52,12.29,11.4628571428571
"09-07-2022",17.85,12.11,7.97,6.01,17.39,9.55,12.46,11.9057142857143
"10-07-2022",15.79,12.21,7.48,3.18,14.78,8.88,9.69,10.2871428571429
"11-07-2022",15.75,15.83,11.71,8.59,NA,9.12,10.34,11.89
"12-07-2022",15.95,NA,6.38,7.47,15.33,11.23,12.05,11.4016666666667
"13-07-2022",17.84,NA,7.89,6.51,15.16,7.42,13.39,11.3683333333333
"14-07-2022",14.24,NA,7.25,5.78,15.67,9.7,11.37,10.6683333333333
"15-07-2022",14.03,NA,7.06,7.2,15.2,9.61,9.11,10.3683333333333
"16-07-2022",13.28,NA,6.73,5.49,13.77,9.86,10.75,9.98
"17-07-2022",13.32,NA,6.66,5.26,14.02,9.21,9.64,9.685
"18-07-2022",16.16,NA,8.84,7.74,20.62,10.96,13.41,12.955
"19-07-2022",19.11,12.17,10.33,9.98,33.45,12.03,18.7,16.5385714285714
"20-07-2022",23.09,14.5,12.89,9.28,36.62,12.75,18.79,18.2742857142857
"21-07-2022",22.99,9.71,15.13,12.02,31.68,14.92,17.09,17.6485714285714
"22-07-2022",21.06,9.39,11.7,12.41,22.4,9.61,12.6,14.1671428571429
"23-07-2022",16.42,7.92,7.36,7.07,18.04,9.01,6.69,10.3585714285714
"24-07-2022",16.2,6.99,8.69,4.32,19.22,11.52,7.32,10.6085714285714
"25-07-2022",19.09,7.11,9.66,9.82,21.28,12.27,9.8,12.7185714285714
"26-07-2022",21.73,7.97,10.21,10.66,28,9.92,11.77,14.3228571428571
"27-07-2022",21.45,9.06,10.71,10.21,28.37,12.59,10.8,14.7414285714286
"28-07-2022",17.61,12.37,10.33,10.45,33.1,12.33,9.99,15.1685714285714
"29-07-2022",18.02,17.31,15.15,12.95,26.15,15.53,14.83,17.1342857142857
"30-07-2022",13.66,13.24,12.36,10.14,32.31,13.17,12.67,15.3642857142857
"31-07-2022",20.61,18.04,14.25,11.55,41.32,15.41,16.49,19.6671428571429
"01-08-2022",25.01,24.23,17.16,18.3,40.29,18.95,22.74,23.8114285714286
"02-08-2022",33.36,27.93,21.3,24.11,38.43,24.14,27.75,28.1457142857143
"03-08-2022",25.68,20.7,15.65,13.72,25.34,14.79,17.93,19.1157142857143
"04-08-2022",18.64,12.54,10.77,9.36,14.81,10.41,12.47,12.7142857142857
"05-08-2022",12.31,10.23,7.81,4.03,19.11,6.85,5.94,9.46857142857143
"06-08-2022",13.89,10.39,6.61,6.72,16.05,7.49,6.53,9.66857142857143
"07-08-2022",12.75,12.15,6.78,3.37,17.4,7.32,5.78,9.36428571428571
"08-08-2022",12.78,11.49,6.6,4.95,9.19,7.35,4.41,8.11
"09-08-2022",13.1,11.34,6.58,3.5,9.16,6.06,6.39,8.01857142857143
"10-08-2022",10.14,10.76,6.72,6.19,10.76,6.84,12.05,9.06571428571429
"11-08-2022",13.08,9.52,8.59,9.96,12.45,9.79,12.5,10.8414285714286
"12-08-2022",23.38,15.64,12.47,14.11,28.34,16.61,20.31,18.6942857142857
"13-08-2022",19.02,18.09,12.29,13.11,31.98,14.53,21.8,18.6885714285714
"14-08-2022",9.47,10.63,7.64,5.89,10.01,6.92,9.55,8.58714285714286
"15-08-2022",12.36,10.23,9.62,13.75,13.76,11.43,14.62,12.2528571428571
"16-08-2022",20.2,17.28,16.04,19.01,29.59,17.58,23.55,20.4642857142857
"17-08-2022",35.28,33.45,19.18,28.22,42,24.39,32.78,30.7571428571429
"18-08-2022",43.02,49.1,NA,31.53,46.54,31.82,36.62,39.7716666666667
"19-08-2022",17.42,NA,NA,9.82,12.29,12.01,16.54,13.616
"20-08-2022",11.38,NA,NA,6.42,6.72,9.3,11.96,9.156
"21-08-2022",24.03,NA,20.14,17.36,NA,15.73,20.27,19.506
"22-08-2022",30.38,NA,23.64,21.3,55.56,21.89,28.12,30.1483333333333
"23-08-2022",23.66,NA,18.89,12.47,28.28,22.33,27.93,22.26
"24-08-2022",15.15,NA,13.17,8.64,18.05,13.74,18.84,14.5983333333333
